activity_id,wbs,discipline,location,activity_name,work_type,identifier,planned_start,planned_finish
A50701,INS-06,Instrumentation,Unit 2,Install Temperature Transmitter TT-101,Instrument Installation,Transmitter TT-101,2026-09-05,2026-09-06
A50702,INS-06,Instrumentation,Unit 2,Install Pressure Transmitter PT-101,Instrument Installation,Transmitter PT-101,2026-09-06,2026-09-07
A50703,INS-06,Instrumentation,Unit 2,Install Flow Transmitter FT-101,Instrument Installation,Transmitter FT-101,2026-09-07,2026-09-08
A50704,INS-06,Instrumentation,Unit 2,Calibrate TT-101,Calibration,Transmitter TT-101,2026-09-08,2026-09-09
A50705,INS-06,Instrumentation,Unit 2,Calibrate PT-101,Calibration,Transmitter PT-101,2026-09-09,2026-09-10
A50706,INS-06,Instrumentation,Compressor Area,Install Level Switch LS-7,Instrument Installation,Level Switch LS-7,2026-09-06,2026-09-07
A50707,INS-06,Instrumentation,Compressor Area,Install Level Switch LS-8,Instrument Installation,Level Switch LS-8,2026-09-07,2026-09-08
A50708,INS-06,Instrumentation,Unit 3,Install Temperature Transmitter TT-201,Instrument Installation,Transmitter TT-201,2026-09-09,2026-09-10
A50709,INS-06,Instrumentation,Unit 3,Install Pressure Transmitter PT-201,Instrument Installation,Transmitter PT-201,2026-09-11,2026-09-12
A50710,INS-06,Instrumentation,Unit 2,Loop Test LT-101,Loop Test,Loop LT-101,2026-09-10,2026-09-11
A50711,INS-06,Instrumentation,Unit 2,Loop Test LT-102,Loop Test,Loop LT-102,2026-09-11,2026-09-12
A50712,INS-06,Instrumentation,Compressor Area,Install Control Valve CV-1,Control Valve,Control Valve CV-1,2026-09-08,2026-09-10
A50713,INS-06,Instrumentation,Compressor Area,Install Control Valve CV-2,Control Valve,Control Valve CV-2,2026-09-10,2026-09-12
A50714,INS-06,Instrumentation,Unit 2,Install Junction Box JBI-3,Instrument Installation,Junction Box JBI-3,2026-09-12,2026-09-13
A50715,INS-06,Instrumentation,Unit 3,Calibrate TT-201,Calibration,Transmitter TT-201,2026-09-13,2026-09-14
